serial_number_tim,serial_number_forn,createdBy,createdAt,updatedBy,updatedAt,num_consegna,workrequestid,externalrefid,associated_at,associated_by,causale,anomalia,status,wr_prodotti,cod_terr_sap,cod_nmu,codice_impresa_name,impianto,impianto_regman,status_regman,sent_to_sap,cod_proj,mac_address,serial_number_cpe,cod_terr_sap_mos,check_NMU,desc_nmu,tipo_task,flag_olo,check_u0009t,importo_u0009t,NMU WR,tipo_inserimento,client_type,data_completamento_wr,area,codice_riscontro,codice_impresa_utilizzo,descr_impresa_utilizzo,tipo_famiglia,cod_gruppo_tec,File Allegato,contatore,causale_addebito,note_addebito,post_delivery,wr_collaudo_one,impianto_collaudo_one,data_collaudo_one,status_collaudo_one,equivalenza_prod_applicabile,validated_at,validated_by,reverse,note,one_step,approved_at,approved_by
%19GI778411N0920104661,202009011946001574,SAP File,2020-09-25T04:46:31.428Z,X1013719,2023-01-31T18:12:39.274Z,8401776765,,,,,,,Attribuito,false,IMSUS014,778411,,,,NO DISCOVERATO SU REGMAN,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%19GI778411N0920104660,202009011946001604,SAP File,2020-09-25T04:46:31.381Z,X1013719,2023-01-31T18:12:39.163Z,8401776765,,,,,,,Attribuito,false,IMSUS014,778411,,,,NO DISCOVERATO SU REGMAN,,,,,,,,,,,,,Digitato,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%19GI778411N0920104657,202009011946001597,SAP File,2020-09-25T04:46:31.272Z,X1013719,2023-01-31T18:12:39.026Z,8401776765,,,,,,,Attribuito,false,IMSUS014,778411,,,,NO DISCOVERATO SU REGMAN,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%19GI778411N0920104654,202009011946001573,SAP File,2020-09-25T04:46:31.116Z,X1013719,2023-01-31T18:12:38.913Z,8401776765,,,,,,,Attribuito,false,IMSUS014,778411,,,,NO DISCOVERATO SU REGMAN,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%19GI778411N0920104653,202009011946001593,SAP File,2020-09-25T04:46:31.069Z,X1013719,2023-01-31T18:12:38.808Z,8401776765,,,,,,,Attribuito,false,IMSUS014,778411,,,,NO DISCOVERATO SU REGMAN,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%19GI778411N0920104651,202009011946001485,SAP File,2020-09-25T04:46:30.959Z,X1013719,2023-01-31T18:12:38.702Z,8401776765,,,,,,,Attribuito,false,IMSUS014,778411,,,,NO DISCOVERATO SU REGMAN,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%19GI778411N0920104650,202009011946001544,SAP File,2020-09-25T04:46:30.912Z,X1013719,2023-01-31T18:12:38.594Z,8401776765,,,,,,,Attribuito,false,IMSUS014,778411,,,,NO DISCOVERATO SU REGMAN,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%19GI778411N0920104648,202009011946001538,SAP File,2020-09-25T04:46:30.819Z,X1013719,2023-01-31T18:12:38.488Z,8401776765,,,,,,,Attribuito,false,IMSUS014,778411,,,,NO DISCOVERATO SU REGMAN,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%19GI778411N0920104645,202009011946001534,SAP File,2020-09-25T04:46:30.678Z,X1013719,2023-01-31T18:12:38.377Z,8401776765,,,,,,,Attribuito,false,IMSUS014,778411,,,,NO DISCOVERATO SU REGMAN,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%19GI778411N0920104642,202009011946001371,SAP File,2020-09-25T04:46:30.522Z,X1013719,2023-01-31T18:12:38.266Z,8401776765,,,,,,,Attribuito,false,IMSUS014,778411,,,,NO DISCOVERATO SU REGMAN,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%19GI778411N0920104641,202009011946001550,SAP File,2020-09-25T04:46:30.459Z,X1013719,2023-01-31T18:12:38.158Z,8401776765,,,,,,,Attribuito,false,IMSUS014,778411,,,,NO DISCOVERATO SU REGMAN,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%19GI778411N0920104639,202009011946000216,SAP File,2020-09-25T04:46:30.350Z,X1013719,2023-01-31T18:12:38.050Z,8401776765,,,,,,,Attribuito,false,IMSUS014,778411,,,,NO DISCOVERATO SU REGMAN,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%19GI778410N0920112646,EH7VL8U02404,SAP File,2020-09-25T04:45:11.663Z,X1013719,2023-01-31T18:11:27.588Z,8401776832,,,,,,,Attribuito,false,IMSUS014,778410,,,,NO DISCOVERATO SU REGMAN,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%19GI778410N0920112638,EH7VL8U02507,SAP File,2020-09-25T04:45:11.601Z,X1013719,2023-01-31T18:11:27.478Z,8401776832,,,,,,,Attribuito,false,IMSUS014,778410,,,,NO DISCOVERATO SU REGMAN,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%19GI778410N0920112476,EH7VL8U02480,SAP File,2020-09-25T04:45:11.554Z,X1013719,2023-01-31T18:11:27.371Z,8401776832,,,,,,,Attribuito,false,IMSUS014,778410,,,,NO DISCOVERATO SU REGMAN,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%19GI778410N0920112968,EH7VL8U02346,SAP File,2020-09-25T04:45:11.382Z,X1013719,2023-01-31T18:11:27.265Z,8401776832,,,,,,,Attribuito,false,IMSUS014,778410,,,,NO DISCOVERATO SU REGMAN,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%19GI778410N0920114158,EH7VL8U01801,SAP File,2020-09-25T04:45:11.335Z,X1013719,2023-01-31T18:11:27.155Z,8401776832,,,,,,,Attribuito,false,IMSUS014,778410,,,,NO DISCOVERATO SU REGMAN,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091777179N05201037KE,ZTEEG9LL5X08539,SAP File,2020-09-23T04:46:51.289Z,X1013719,2023-01-31T18:10:05.976Z,8401775160,,,,,,,Attribuito,false,IMSUS014,777179,,,000941533906,DISCOVERATO SU REGMAN,,,8CDC02D7CB2F,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091777179N0520103539,ZTEEG9LL5X05330,SAP File,2020-09-23T04:46:44.789Z,RegmanTool,2024-08-27T00:07:23.873Z,8401775160,,,,,,,Attribuito,false,IMSUS014,777179,,,000736396924,DISCOVERATO SU REGMAN,,,8CDC02D92B63,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091777179N052010351N,ZTEEG9LL5X05272,SAP File,2020-09-23T04:46:42.913Z,RegmanTool,2023-03-07T05:50:48.197Z,8401775160,,,,,,,Attribuito,false,IMSUS014,777179,,,000965885374,DISCOVERATO SU REGMAN,,,8CDC02D92A7B,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091777179N052010351K,ZTEEG9LL5X05269,SAP File,2020-09-23T04:46:42.773Z,RegmanTool,2023-12-08T05:59:29.486Z,8401775160,,,,,,,Attribuito,false,IMSUS014,777179,,,000836307438,DISCOVERATO SU REGMAN,,,8CDC02D92A6F,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091777179N05201032HA,ZTEEG9LL5X01947,SAP File,2020-09-23T04:46:41.304Z,X1013719,2023-01-31T18:10:05.542Z,8401775160,,,,,,,Attribuito,false,IMSUS014,777179,,,,NO DISCOVERATO SU REGMAN,,,8CDC02D8F687,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091777179N05201037L4,ZTEEG9LL5X08565,SAP File,2020-09-23T04:46:40.523Z,X1013719,2023-01-31T18:10:05.435Z,8401775160,,,,,,,Attribuito,false,IMSUS014,777179,,,000954198884,DISCOVERATO SU REGMAN,,,8CDC02D7CB97,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,"WR: 32097994 - NO AGGREGATO PRODOTTO - A SISTEMA NO MOD.U009T PER VENDITA ROUTER TIM HUB -ITEM STATO: DA ESAMINARE - ANOMALIA: WR SENZA CONSEGNA PRODOTTI ",,,
%R091777179N05201037ZS,ZTEEG9LL5X09093,SAP File,2020-09-23T04:46:40.038Z,X1013719,2023-01-31T18:10:05.328Z,8401775160,,,,,,,Attribuito,false,IMSUS014,777179,,,,NO DISCOVERATO SU REGMAN,,,8CDC02D7D3D7,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091777179N0320100F7Q,ZTEEG9LL3C09403,SAP File,2020-09-23T04:46:37.570Z,X1013719,2023-01-31T18:10:05.220Z,8401775160,,,,,,,Attribuito,false,IMSUS014,777179,,,000909809105,DISCOVERATO SU REGMAN,,,E01954A99309,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091777179N0720211CRX,ZTE9G9LL7U32109,SAP File,2020-09-23T04:46:34.694Z,X1015748,2025-02-13T10:22:37.409Z,8401775160,,,,,,,Attribuito,false,IMSUS014,777179,,,000090393424,DISCOVERATO SU REGMAN,,,D4B70922051B,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,"WR: 32132476   ROUTER LIBERO - ERRATO ADDEBITO €61,00 NO COSTO ROUTER TIM HUB ZTE PRIMO  INVIO ATTENZIONE; NOTA PER IMPRESA NON RIMANDARE ITEM ALLO STATO VALIDATO SENZA UNA GIUSTIFICAZIONE ",,,
%R091777179N0720211CQM,ZTE9G9LL7U32062,SAP File,2020-09-23T04:46:34.600Z,X1013719,2023-01-31T18:10:04.998Z,8401775160,,,,,,,Attribuito,false,IMSUS014,777179,,,000957395863,DISCOVERATO SU REGMAN,,,D4B70922045F,,,,,,,,,,DaLista,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091777179N0520103239,ZTEEG9LL5X01442,SAP File,2020-09-23T04:46:34.413Z,X1013719,2023-01-31T18:10:04.888Z,8401775160,,,,,,,Attribuito,false,IMSUS014,777179,,,000962930702,DISCOVERATO SU REGMAN,,,8CDC02D8EEA3,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091777179N052010316Z,ZTEEG9LL5X00280,SAP File,2020-09-23T04:46:33.710Z,X1013719,2023-01-31T18:10:04.781Z,8401775160,,,,,,,Attribuito,false,IMSUS014,777179,,,000941430546,DISCOVERATO SU REGMAN,,,8CDC02D8DC7B,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091777179N0720211E5N,ZTE9G9LL7U33899,SAP File,2020-09-23T04:46:32.725Z,X1013719,2023-01-31T18:10:04.673Z,8401775160,,,,,,,Attribuito,false,IMSUS014,777179,,,,NO DISCOVERATO SU REGMAN,,,D4B709222113,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091777179N0720211G1R,ZTE9G9LL7U36351,SAP File,2020-09-23T04:46:31.413Z,X1013719,2023-01-31T18:10:04.565Z,8401775160,,,,,,,Attribuito,false,IMSUS014,777179,,,000931967704,DISCOVERATO SU REGMAN,,,D4B709224763,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091777179N032010089I,ZTEEG9LL3C00395,SAP File,2020-09-23T04:46:28.599Z,X1013719,2023-01-31T18:10:04.457Z,8401775160,,,,,,,Attribuito,false,IMSUS014,777179,,,,NO DISCOVERATO SU REGMAN,,,E01954A90649,,,,,,,,,,DaLista,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091777179N0320100F7B,ZTEEG9LL3C09388,SAP File,2020-09-23T04:46:24.233Z,X1015748,2025-02-13T10:28:15.535Z,8401775160,,,,,,,Attribuito,false,IMSUS014,777179,,,000903693459,DISCOVERATO SU REGMAN,,,E01954A992CD,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,"WR: 32645328 - ROUTER LIBERO A SISTEMA MANCA  MOD_U009T - SECONDO INVIO ",,,
%R091777179N0320100F7C,ZTEEG9LL3C09389,SAP File,2020-09-23T04:46:24.170Z,X1013719,2023-01-31T18:10:04.240Z,8401775160,,,,,,,Attribuito,false,IMSUS014,777179,,,,NO DISCOVERATO SU REGMAN,,,E01954A992D1,,,,,,,,,,DaLista,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091777179N052010324V,ZTEEG9LL5X01500,SAP File,2020-09-23T04:46:20.918Z,X1013719,2023-01-31T18:10:04.132Z,8401775160,,,,,,,Attribuito,false,IMSUS014,777179,,,000931981663,DISCOVERATO SU REGMAN,,,8CDC02D8EF8B,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091777179N0520103253,ZTEEG9LL5X01508,SAP File,2020-09-23T04:46:20.699Z,X1013719,2023-01-31T18:10:04.025Z,8401775160,,,,,,,Attribuito,false,IMSUS014,777179,,,000931318372,DISCOVERATO SU REGMAN,,,8CDC02D8EFAB,,,,,,,,,,DaLista,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%19GI777397N0920105361,M32572460065568,SAP File,2020-09-16T16:06:56.655Z,X1013719,2023-01-31T18:07:57.482Z,8401766068,,,,,,,Attribuito,false,IMSUS014,777397,,,,NO DISCOVERATO SU REGMAN,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%19GI777397N0920105291,M32572460066734,SAP File,2020-09-16T16:06:56.514Z,X1013719,2023-01-31T18:07:57.377Z,8401766068,,,,,,,Attribuito,false,IMSUS014,777397,,,,NO DISCOVERATO SU REGMAN,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%19GI777397N0920105283,M32572460065385,SAP File,2020-09-16T16:06:56.327Z,X1013719,2023-01-31T18:07:57.264Z,8401766068,,,,,,,Attribuito,false,IMSUS014,777397,,,,NO DISCOVERATO SU REGMAN,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%19GI777397N0920104802,M32572460066336,SAP File,2020-09-16T16:06:56.139Z,X1013719,2023-01-31T18:07:57.158Z,8401766068,,,,,,,Attribuito,false,IMSUS014,777397,,,,NO DISCOVERATO SU REGMAN,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%19GI777397N0920104795,M32572460066120,SAP File,2020-09-16T16:06:56.093Z,X1013719,2023-01-31T18:07:57.051Z,8401766068,,,,,,,Attribuito,false,IMSUS014,777397,,,,NO DISCOVERATO SU REGMAN,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%19GI777397N0920104698,M32572460066391,SAP File,2020-09-16T16:06:55.905Z,X1013719,2023-01-31T18:07:56.943Z,8401766068,,,,,,,Attribuito,false,IMSUS014,777397,,,,NO DISCOVERATO SU REGMAN,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%19GI777397N0920104106,M32572460066401,SAP File,2020-09-16T16:06:55.702Z,X1013719,2023-01-31T18:07:56.835Z,8401766068,,,,,,,Attribuito,false,IMSUS014,777397,,,,NO DISCOVERATO SU REGMAN,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%19GI777397N0920103874,M32572460065572,SAP File,2020-09-16T16:06:55.561Z,X1013719,2023-01-31T18:07:56.728Z,8401766068,,,,,,,Attribuito,false,IMSUS014,777397,,,,NO DISCOVERATO SU REGMAN,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%3S55773371N0720100IYJ,CP2025SAUGK,SAP File,2020-08-20T05:12:20.730Z,RegmanTool,2023-02-06T05:47:31.497Z,8401761239,,,,,,,Attribuito,false,IMSUS014,773371,,,000954192227,DISCOVERATO SU REGMAN,,,D4351D190FF6,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%3S55773371N0720100IUH,CP2025SAUAS,SAP File,2020-08-20T05:12:20.668Z,X1013719,2023-01-31T18:03:58.577Z,8401761239,,,,,,,Attribuito,false,IMSUS014,773371,,,000952190821,DISCOVERATO SU REGMAN,,,D4351D190808,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091778189N072010604S,ZTEEG9LL7M04254,SAP File,2020-08-12T05:11:32.175Z,X1013719,2023-01-31T18:00:27.185Z,8401755539,,,,,,,Attribuito,false,IMSUS014,778189,,,000961750020,DISCOVERATO SU REGMAN,,,E01954720494,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091778189N072010603X,ZTEEG9LL7M04223,SAP File,2020-08-12T05:11:31.378Z,X1013719,2023-01-31T18:00:27.076Z,8401755539,,,,,,,Attribuito,false,IMSUS014,778189,,,000931587411,DISCOVERATO SU REGMAN,,,E01954720418,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091778189N0720106036,ZTEEG9LL7M04196,SAP File,2020-08-12T05:11:30.581Z,X1013719,2023-01-31T18:00:26.968Z,8401755539,,,,,,,Attribuito,false,IMSUS014,778189,,,,NO DISCOVERATO SU REGMAN,,,E019547203AC,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091778189N072010601C,ZTEEG9LL7M04130,SAP File,2020-08-12T05:11:28.456Z,X1013719,2023-01-31T18:00:26.859Z,8401755539,,,,,,,Attribuito,false,IMSUS014,778189,,,000495991029,DISCOVERATO SU REGMAN,,,E019547202A4,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091778189N0720104GVE,ZTEEG9LL6J13150,SAP File,2020-08-12T05:11:27.253Z,X1013719,2023-01-31T18:00:26.746Z,8401755539,,,,,,,Attribuito,false,IMSUS014,778189,,,000931454920,DISCOVERATO SU REGMAN,,,D4B709091A8C,,,,,,,,,,DaLista,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091778189N0820103R1D,ZTEEG9LL6A05040,SAP File,2020-08-07T04:57:27.141Z,RegmanTool,2023-03-28T04:54:05.951Z,8401754008,,,,,,,Attribuito,false,IMSUS014,778189,,,000909880456,DISCOVERATO SU REGMAN,,,D4B709065B80,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091778189N0820103SM7,ZTEEG9LL6A07086,SAP File,2020-08-07T04:57:26.828Z,X1013719,2023-01-31T17:57:43.177Z,8401754008,,,,,,,Attribuito,false,IMSUS014,778189,,,000941660265,DISCOVERATO SU REGMAN,,,D4B709067B78,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091778189N0820103SGG,ZTEEG9LL6A06879,SAP File,2020-08-07T04:57:24.078Z,X1013719,2023-01-31T17:57:43.066Z,8401754008,,,,,,,Attribuito,false,IMSUS014,778189,,,000382619238,DISCOVERATO SU REGMAN,,,D4B70906783C,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091778189N0820103SGV,ZTEEG9LL6A06894,SAP File,2020-08-07T04:57:22.703Z,X1015748,2025-02-13T10:16:26.576Z,8401754008,,,,,,,Attribuito,false,IMSUS014,778189,,,000090321094,DISCOVERATO SU REGMAN,,,D4B709067878,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,"WR: 31789151 WR SENZA CONSEGNA PRODOTTI NO MOD. U009T PRIMO INVIO ",,,
%R091778189N0820103SJY,ZTEEG9LL6A07005,SAP File,2020-08-07T04:57:22.609Z,X1015748,2025-02-13T10:16:13.909Z,8401754008,,,,,,,Attribuito,false,IMSUS014,778189,,,000090389258,DISCOVERATO SU REGMAN,,,D4B709067A34,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,WR: 31247339 - ROUTER LIBERO A SISTEMA NO MOD_U009T - ITEM STATO: DA ESAMINARE - ANOMALIA: WR SENZA CONSEGNA PRODOTTI SECONDO INVIO,,,
%R091778189N0820103SLL,ZTEEG9LL6A07064,SAP File,2020-08-07T04:57:21.672Z,X1013719,2023-01-31T17:57:42.729Z,8401754008,,,,,,,Attribuito,false,IMSUS014,778189,,,000095377807,DISCOVERATO SU REGMAN,,,D4B709067B20,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091778189N0820103SL7,ZTEEG9LL6A07050,SAP File,2020-08-07T04:57:21.312Z,X1013719,2023-01-31T17:57:42.621Z,8401754008,,,,,,,Attribuito,false,IMSUS014,778189,,,000709790479,DISCOVERATO SU REGMAN,,,D4B709067AE8,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%3S55771302N0419300HO2,CP1912SA7ZN,SAP File,2020-08-05T05:00:19.310Z,X1013719,2023-01-31T17:57:19.508Z,8401751278,,,,,,,Attribuito,false,IMSUS014,771302,,,000095311144,DISCOVERATO SU REGMAN,,,20B00129422A,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%3S55771302N0419300HNZ,CP1912SA7ZA,SAP File,2020-08-05T05:00:19.247Z,X1013719,2023-01-31T17:57:19.392Z,8401751278,,,,,,,Attribuito,false,IMSUS014,771302,,,,NO DISCOVERATO SU REGMAN,,,20B0012941F0,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%3S55771302N0419300HNS,CP1912SA7YT,SAP File,2020-08-05T05:00:19.200Z,X1013719,2023-01-31T17:57:19.283Z,8401751278,,,,,,,Attribuito,false,IMSUS014,771302,,,,NO DISCOVERATO SU REGMAN,,,20B0012941A4,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%3S55771302N0419300HNJ,CP1912SA7YR,SAP File,2020-08-05T05:00:19.028Z,X1013719,2023-01-31T17:57:19.173Z,8401751278,,,,,,,Attribuito,false,IMSUS014,771302,,,,NO DISCOVERATO SU REGMAN,,,20B001294196,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%3S55771302N0419300HNI,CP1912SA7YU,SAP File,2020-08-05T05:00:18.982Z,X1013719,2023-01-31T17:57:19.064Z,8401751278,,,,,,,Attribuito,false,IMSUS014,771302,,,,NO DISCOVERATO SU REGMAN,,,20B0012941AA,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%3S55771302N0419300HNE,CP1912SA7YK,SAP File,2020-08-05T05:00:18.904Z,X1013719,2023-01-31T17:57:18.957Z,8401751278,,,,,,,Attribuito,false,IMSUS014,771302,,,,NO DISCOVERATO SU REGMAN,,,20B001294180,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%3S55771302N0419300HND,CP1912SA7YY,SAP File,2020-08-05T05:00:18.857Z,X1013719,2023-01-31T17:57:18.849Z,8401751278,,,,,,,Attribuito,false,IMSUS014,771302,,,,NO DISCOVERATO SU REGMAN,,,20B0012941B8,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%3S55771302N0419300HN4,CP1912SA7Y5,SAP File,2020-08-05T05:00:18.810Z,RegmanTool,2025-02-28T06:00:36.981Z,8401751278,,,,,,,Attribuito,false,IMSUS014,771302,,,000095691263,DISCOVERATO SU REGMAN,,,20B00129414C,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%3S55771302N0419300HMY,CP1912SA7YE,SAP File,2020-08-05T05:00:18.763Z,X1013719,2023-01-31T17:57:18.632Z,8401751278,,,,,,,Attribuito,false,IMSUS014,771302,,,,NO DISCOVERATO SU REGMAN,,,20B00129416E,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%3S55771302N0419300HMV,CP1912SA7TB,SAP File,2020-08-05T05:00:18.700Z,X1013719,2023-01-31T17:57:18.525Z,8401751278,,,,,,,Attribuito,false,IMSUS014,771302,,,,NO DISCOVERATO SU REGMAN,,,20B001293F60,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%3S55771302N0419300HMU,CP1912SA7YG,SAP File,2020-08-05T05:00:18.653Z,X1013719,2023-01-31T17:57:18.417Z,8401751278,,,,,,,Attribuito,false,IMSUS014,771302,,,,NO DISCOVERATO SU REGMAN,,,20B001294174,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%3S55771302N0419300HMT,CP1912SA7WJ,SAP File,2020-08-05T05:00:18.607Z,X1013719,2023-01-31T17:57:18.302Z,8401751278,,,,,,,Attribuito,false,IMSUS014,771302,,,,NO DISCOVERATO SU REGMAN,,,20B0012940F8,,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
